timestamp;load_1m;cpu_total_pct;iowait_pct;ram_total_mb;ram_used_mb;ram_available_mb;swap_total_mb;swap_used_mb;root_disk_used_pct
2026-09-07T17:57:42+00:00;6.09;16.24;0.65;15939;9936;6003;0;0;27%
2026-09-07T17:57:54+00:00;5.70;12.80;0.76;15939;9941;5997;0;0;27%
2026-09-07T17:58:06+00:00;5.56;17.27;1.26;15939;9938;6000;0;0;27%
2026-09-07T17:58:18+00:00;5.30;12.71;0.59;15939;9934;6004;0;0;27%
2026-09-07T17:58:31+00:00;5.76;14.29;1.27;15939;9929;6049;0;0;27%
2026-09-07T17:58:43+00:00;5.40;14.57;0.76;15939;9928;6010;0;0;27%
2026-09-07T17:58:55+00:00;4.88;12.65;0.57;15939;9941;5997;0;0;27%
2026-09-07T17:59:07+00:00;4.61;17.79;1.32;15939;9941;5998;0;0;27%
2026-09-07T17:59:19+00:00;4.83;13.26;0.63;15939;9951;5987;0;0;27%
2026-09-07T17:59:31+00:00;5.12;17.44;0.82;15939;9956;5982;0;0;27%
2026-09-07T17:59:43+00:00;5.01;13.40;1.97;15939;9950;5988;0;0;27%
2026-09-07T17:59:56+00:00;5.89;14.30;0.75;15939;9959;5979;0;0;27%
2026-09-07T18:00:08+00:00;5.83;18.46;2.21;15939;9962;5977;0;0;27%
2026-09-07T18:00:20+00:00;5.63;12.74;0.63;15939;9916;6023;0;0;27%
2026-09-07T18:00:32+00:00;5.41;17.99;0.87;15939;9952;5987;0;0;27%
2026-09-07T18:00:44+00:00;5.43;13.68;2.26;15939;9944;5994;0;0;27%
2026-09-07T18:00:56+00:00;5.67;16.63;0.72;15939;9953;5986;0;0;27%
2026-09-07T18:01:08+00:00;5.42;13.85;2.27;15939;9950;5989;0;0;27%
2026-09-07T18:01:20+00:00;5.12;13.39;0.61;15939;9946;5993;0;0;27%
2026-09-07T18:01:33+00:00;5.18;15.17;0.67;15939;9948;5990;0;0;27%
2026-09-07T18:01:45+00:00;5.94;12.63;1.69;15939;9953;5986;0;0;27%
2026-09-07T18:01:57+00:00;5.85;16.31;0.67;15939;9960;5978;0;0;27%
2026-09-07T18:02:09+00:00;6.45;12.26;1.00;15939;9965;5973;0;0;27%
2026-09-07T18:02:21+00:00;6.48;17.50;0.72;15939;9953;5986;0;0;27%
2026-09-07T18:02:33+00:00;6.25;12.72;0.91;15939;9954;5984;0;0;27%
2026-09-07T18:02:45+00:00;6.52;12.94;1.49;15939;9962;5977;0;0;27%
2026-09-07T18:02:57+00:00;6.09;16.56;0.84;15939;9963;5976;0;0;27%
2026-09-07T18:03:10+00:00;6.36;12.41;0.61;15939;9959;5980;0;0;27%
2026-09-07T18:03:22+00:00;8.83;18.67;2.06;15939;9974;5965;0;0;27%
2026-09-07T18:03:34+00:00;8.26;12.43;0.63;15939;9971;5967;0;0;27%
2026-09-07T18:03:46+00:00;7.53;16.81;1.90;15939;9925;6014;0;0;27%
2026-09-07T18:03:58+00:00;7.31;12.52;0.61;15939;9971;5968;0;0;27%
2026-09-07T18:04:10+00:00;6.82;13.22;0.88;15939;9964;5974;0;0;27%
2026-09-07T18:04:22+00:00;6.80;16.80;1.15;15939;9979;5959;0;0;27%
2026-09-07T18:04:35+00:00;6.37;12.62;0.63;15939;9966;5972;0;0;27%
2026-09-07T18:04:47+00:00;5.87;17.51;1.56;15939;9960;5979;0;0;27%
2026-09-07T18:04:59+00:00;5.88;12.13;0.61;15939;9959;5980;0;0;27%
2026-09-07T18:05:11+00:00;5.38;16.32;0.78;15939;9960;5979;0;0;27%
2026-09-07T18:05:23+00:00;5.09;14.27;1.54;15939;9964;5975;0;0;27%
2026-09-07T18:05:35+00:00;4.70;12.83;0.65;15939;9962;5977;0;0;27%
2026-09-07T18:05:48+00:00;4.93;16.43;0.99;15939;9963;5975;0;0;27%
2026-09-07T18:06:00+00:00;5.01;12.22;1.08;15939;9966;5973;0;0;27%
2026-09-07T18:06:12+00:00;4.64;17.70;1.56;15939;9969;5969;0;0;27%
2026-09-07T18:06:24+00:00;4.48;12.69;0.78;15939;9962;5977;0;0;27%
2026-09-07T18:06:36+00:00;4.32;16.70;0.74;15939;9963;5976;0;0;27%
2026-09-07T18:06:48+00:00;4.42;12.20;0.72;15939;9956;5982;0;0;27%
2026-09-07T18:07:00+00:00;4.89;13.11;1.47;15939;9977;5961;0;0;27%
2026-09-07T18:07:12+00:00;6.93;16.35;0.76;15939;9967;5972;0;0;27%
