timestamp;container;cpu;mem_usage;mem_percent;net_io;block_io
2026-09-04T16:25:45+00:00;tb-postgres-1;33.33%;2.984GiB / 15.57GiB;19.17%;1.2GB / 512MB;2.17GB / 11.2GB
2026-09-04T16:25:45+00:00;tb-kafka-1;6.97%;1.625GiB / 15.57GiB;10.44%;3.48GB / 2.67GB;155MB / 2.11GB
2026-09-04T16:25:57+00:00;tb-thingsboard-ce-1;13.11%;1.936GiB / 15.57GiB;12.44%;3.28GB / 4.79GB;74.2MB / 27MB
2026-09-04T16:25:57+00:00;tb-postgres-1;0.09%;2.984GiB / 15.57GiB;19.17%;1.2GB / 512MB;2.17GB / 11.2GB
2026-09-04T16:25:57+00:00;tb-kafka-1;6.58%;1.625GiB / 15.57GiB;10.44%;3.48GB / 2.67GB;155MB / 2.11GB
2026-09-04T16:26:09+00:00;tb-thingsboard-ce-1;17.47%;1.936GiB / 15.57GiB;12.44%;3.28GB / 4.79GB;74.2MB / 27MB
2026-09-04T16:26:09+00:00;tb-postgres-1;6.21%;2.985GiB / 15.57GiB;19.18%;1.2GB / 512MB;2.17GB / 11.2GB
2026-09-04T16:26:09+00:00;tb-kafka-1;5.91%;1.625GiB / 15.57GiB;10.44%;3.48GB / 2.67GB;155MB / 2.11GB
2026-09-04T16:26:21+00:00;tb-thingsboard-ce-1;14.18%;1.937GiB / 15.57GiB;12.44%;3.28GB / 4.79GB;74.2MB / 27MB
2026-09-04T16:26:21+00:00;tb-postgres-1;0.55%;2.985GiB / 15.57GiB;19.18%;1.2GB / 513MB;2.17GB / 11.2GB
2026-09-04T16:26:21+00:00;tb-kafka-1;7.17%;1.625GiB / 15.57GiB;10.44%;3.48GB / 2.67GB;155MB / 2.11GB
2026-09-04T16:26:33+00:00;tb-thingsboard-ce-1;18.00%;1.937GiB / 15.57GiB;12.44%;3.28GB / 4.79GB;74.2MB / 27MB
2026-09-04T16:26:33+00:00;tb-postgres-1;0.64%;2.988GiB / 15.57GiB;19.19%;1.2GB / 513MB;2.17GB / 11.2GB
2026-09-04T16:26:33+00:00;tb-kafka-1;5.97%;1.625GiB / 15.57GiB;10.44%;3.48GB / 2.67GB;155MB / 2.11GB
2026-09-04T16:26:45+00:00;tb-thingsboard-ce-1;14.78%;1.937GiB / 15.57GiB;12.44%;3.28GB / 4.79GB;74.2MB / 27MB
2026-09-04T16:26:45+00:00;tb-postgres-1;0.44%;2.988GiB / 15.57GiB;19.20%;1.2GB / 513MB;2.17GB / 11.2GB
2026-09-04T16:26:45+00:00;tb-kafka-1;7.58%;1.625GiB / 15.57GiB;10.44%;3.48GB / 2.67GB;155MB / 2.11GB
2026-09-04T16:26:57+00:00;tb-thingsboard-ce-1;14.49%;1.936GiB / 15.57GiB;12.44%;3.28GB / 4.79GB;74.2MB / 27MB
2026-09-04T16:26:57+00:00;tb-postgres-1;0.69%;2.988GiB / 15.57GiB;19.20%;1.2GB / 513MB;2.17GB / 11.2GB
2026-09-04T16:26:57+00:00;tb-kafka-1;5.20%;1.625GiB / 15.57GiB;10.44%;3.49GB / 2.67GB;155MB / 2.11GB
2026-09-04T16:27:09+00:00;tb-thingsboard-ce-1;14.15%;1.937GiB / 15.57GiB;12.44%;3.29GB / 4.79GB;74.2MB / 27MB
2026-09-04T16:27:09+00:00;tb-postgres-1;33.49%;2.989GiB / 15.57GiB;19.20%;1.2GB / 514MB;2.17GB / 11.3GB
2026-09-04T16:27:09+00:00;tb-kafka-1;7.76%;1.625GiB / 15.57GiB;10.44%;3.49GB / 2.67GB;155MB / 2.11GB
2026-09-04T16:27:22+00:00;tb-thingsboard-ce-1;14.65%;1.937GiB / 15.57GiB;12.44%;3.29GB / 4.79GB;74.2MB / 27MB
2026-09-04T16:27:22+00:00;tb-postgres-1;0.08%;2.99GiB / 15.57GiB;19.21%;1.2GB / 514MB;2.17GB / 11.3GB
2026-09-04T16:27:22+00:00;tb-kafka-1;24.05%;1.625GiB / 15.57GiB;10.44%;3.49GB / 2.67GB;155MB / 2.11GB
2026-09-04T16:27:34+00:00;tb-thingsboard-ce-1;18.33%;1.937GiB / 15.57GiB;12.44%;3.29GB / 4.8GB;74.2MB / 27MB
2026-09-04T16:27:34+00:00;tb-postgres-1;1.22%;2.99GiB / 15.57GiB;19.21%;1.2GB / 514MB;2.17GB / 11.3GB
2026-09-04T16:27:34+00:00;tb-kafka-1;5.58%;1.625GiB / 15.57GiB;10.44%;3.49GB / 2.67GB;155MB / 2.11GB
2026-09-04T16:27:46+00:00;tb-thingsboard-ce-1;14.92%;1.937GiB / 15.57GiB;12.44%;3.29GB / 4.8GB;74.2MB / 27MB
2026-09-04T16:27:46+00:00;tb-postgres-1;0.62%;2.991GiB / 15.57GiB;19.21%;1.2GB / 514MB;2.17GB / 11.3GB
2026-09-04T16:27:46+00:00;tb-kafka-1;7.77%;1.625GiB / 15.57GiB;10.44%;3.49GB / 2.67GB;155MB / 2.11GB
2026-09-04T16:27:58+00:00;tb-thingsboard-ce-1;14.76%;1.936GiB / 15.57GiB;12.44%;3.29GB / 4.8GB;74.2MB / 27MB
2026-09-04T16:27:58+00:00;tb-postgres-1;1.65%;2.991GiB / 15.57GiB;19.21%;1.2GB / 514MB;2.17GB / 11.3GB
2026-09-04T16:27:58+00:00;tb-kafka-1;5.24%;1.625GiB / 15.57GiB;10.44%;3.49GB / 2.67GB;155MB / 2.11GB
2026-09-04T16:28:10+00:00;tb-thingsboard-ce-1;19.22%;1.937GiB / 15.57GiB;12.44%;3.29GB / 4.8GB;74.2MB / 27MB
2026-09-04T16:28:10+00:00;tb-postgres-1;15.71%;2.991GiB / 15.57GiB;19.21%;1.21GB / 515MB;2.17GB / 11.3GB
2026-09-04T16:28:10+00:00;tb-kafka-1;7.34%;1.625GiB / 15.57GiB;10.44%;3.49GB / 2.67GB;155MB / 2.11GB
2026-09-04T16:28:22+00:00;tb-thingsboard-ce-1;16.55%;1.937GiB / 15.57GiB;12.44%;3.29GB / 4.8GB;74.2MB / 27MB
2026-09-04T16:28:22+00:00;tb-postgres-1;0.07%;2.991GiB / 15.57GiB;19.21%;1.21GB / 515MB;2.17GB / 11.3GB
2026-09-04T16:28:22+00:00;tb-kafka-1;6.16%;1.625GiB / 15.57GiB;10.44%;3.49GB / 2.67GB;155MB / 2.11GB
2026-09-04T16:28:34+00:00;tb-thingsboard-ce-1;25.43%;1.937GiB / 15.57GiB;12.44%;3.29GB / 4.8GB;74.2MB / 27MB
2026-09-04T16:28:34+00:00;tb-postgres-1;28.62%;2.992GiB / 15.57GiB;19.22%;1.21GB / 515MB;2.17GB / 11.3GB
2026-09-04T16:28:34+00:00;tb-kafka-1;6.15%;1.625GiB / 15.57GiB;10.44%;3.49GB / 2.67GB;155MB / 2.11GB
2026-09-04T16:28:46+00:00;tb-thingsboard-ce-1;17.23%;1.937GiB / 15.57GiB;12.44%;3.29GB / 4.8GB;74.2MB / 27MB
2026-09-04T16:28:46+00:00;tb-postgres-1;0.09%;2.993GiB / 15.57GiB;19.22%;1.21GB / 515MB;2.17GB / 11.3GB
2026-09-04T16:28:46+00:00;tb-kafka-1;5.97%;1.625GiB / 15.57GiB;10.44%;3.49GB / 2.68GB;155MB / 2.11GB
2026-09-04T16:28:58+00:00;tb-thingsboard-ce-1;17.04%;1.936GiB / 15.57GiB;12.44%;3.29GB / 4.8GB;74.2MB / 27MB
2026-09-04T16:28:58+00:00;tb-postgres-1;0.10%;2.992GiB / 15.57GiB;19.22%;1.21GB / 516MB;2.17GB / 11.3GB
2026-09-04T16:28:58+00:00;tb-kafka-1;6.56%;1.625GiB / 15.57GiB;10.44%;3.49GB / 2.68GB;155MB / 2.11GB
2026-09-04T16:29:11+00:00;tb-thingsboard-ce-1;16.15%;1.936GiB / 15.57GiB;12.44%;3.29GB / 4.81GB;74.2MB / 27MB
2026-09-04T16:29:11+00:00;tb-postgres-1;0.67%;2.994GiB / 15.57GiB;19.23%;1.21GB / 516MB;2.17GB / 11.3GB
2026-09-04T16:29:11+00:00;tb-kafka-1;7.60%;1.625GiB / 15.57GiB;10.44%;3.49GB / 2.68GB;155MB / 2.12GB
2026-09-04T16:29:23+00:00;tb-thingsboard-ce-1;20.75%;1.937GiB / 15.57GiB;12.44%;3.29GB / 4.81GB;74.2MB / 27MB
2026-09-04T16:29:23+00:00;tb-postgres-1;0.08%;2.994GiB / 15.57GiB;19.23%;1.21GB / 516MB;2.17GB / 11.3GB
2026-09-04T16:29:23+00:00;tb-kafka-1;6.00%;1.625GiB / 15.57GiB;10.44%;3.49GB / 2.68GB;155MB / 2.12GB
2026-09-04T16:29:35+00:00;tb-thingsboard-ce-1;26.50%;1.937GiB / 15.57GiB;12.44%;3.29GB / 4.81GB;74.2MB / 27MB
2026-09-04T16:29:35+00:00;tb-postgres-1;1.09%;2.994GiB / 15.57GiB;19.23%;1.21GB / 516MB;2.17GB / 11.3GB
2026-09-04T16:29:35+00:00;tb-kafka-1;6.98%;1.625GiB / 15.57GiB;10.44%;3.49GB / 2.68GB;155MB / 2.12GB
2026-09-04T16:29:47+00:00;tb-thingsboard-ce-1;16.19%;1.936GiB / 15.57GiB;12.44%;3.29GB / 4.81GB;74.2MB / 27MB
2026-09-04T16:29:47+00:00;tb-postgres-1;0.58%;2.994GiB / 15.57GiB;19.24%;1.21GB / 517MB;2.17GB / 11.3GB
2026-09-04T16:29:47+00:00;tb-kafka-1;6.30%;1.625GiB / 15.57GiB;10.44%;3.49GB / 2.68GB;155MB / 2.12GB
2026-09-04T16:29:59+00:00;tb-thingsboard-ce-1;16.65%;1.937GiB / 15.57GiB;12.44%;3.3GB / 4.81GB;74.2MB / 27MB
2026-09-04T16:29:59+00:00;tb-postgres-1;25.71%;2.995GiB / 15.57GiB;19.24%;1.21GB / 517MB;2.17GB / 11.3GB
2026-09-04T16:29:59+00:00;tb-kafka-1;8.48%;1.625GiB / 15.57GiB;10.44%;3.49GB / 2.68GB;155MB / 2.12GB
2026-09-04T16:30:11+00:00;tb-thingsboard-ce-1;17.16%;1.937GiB / 15.57GiB;12.44%;3.3GB / 4.81GB;74.2MB / 27MB
2026-09-04T16:30:11+00:00;tb-postgres-1;1.04%;2.997GiB / 15.57GiB;19.25%;1.21GB / 517MB;2.17GB / 11.3GB
2026-09-04T16:30:11+00:00;tb-kafka-1;6.28%;1.625GiB / 15.57GiB;10.44%;3.49GB / 2.68GB;155MB / 2.12GB
2026-09-04T16:30:23+00:00;tb-thingsboard-ce-1;17.05%;1.937GiB / 15.57GiB;12.44%;3.3GB / 4.81GB;74.2MB / 27MB
2026-09-04T16:30:23+00:00;tb-postgres-1;0.12%;2.997GiB / 15.57GiB;19.26%;1.21GB / 517MB;2.17GB / 11.3GB
2026-09-04T16:30:23+00:00;tb-kafka-1;5.95%;1.625GiB / 15.57GiB;10.44%;3.49GB / 2.68GB;155MB / 2.12GB
2026-09-04T16:30:35+00:00;tb-thingsboard-ce-1;16.82%;1.937GiB / 15.57GiB;12.44%;3.3GB / 4.81GB;74.2MB / 27MB
2026-09-04T16:30:35+00:00;tb-postgres-1;1.39%;2.998GiB / 15.57GiB;19.26%;1.21GB / 518MB;2.17GB / 11.3GB
2026-09-04T16:30:35+00:00;tb-kafka-1;10.31%;1.625GiB / 15.57GiB;10.44%;3.5GB / 2.68GB;155MB / 2.12GB
2026-09-04T16:30:48+00:00;tb-thingsboard-ce-1;16.62%;1.936GiB / 15.57GiB;12.44%;3.3GB / 4.81GB;74.2MB / 27MB
2026-09-04T16:30:48+00:00;tb-postgres-1;0.59%;2.998GiB / 15.57GiB;19.26%;1.21GB / 518MB;2.17GB / 11.3GB
2026-09-04T16:30:48+00:00;tb-kafka-1;6.70%;1.625GiB / 15.57GiB;10.44%;3.5GB / 2.68GB;155MB / 2.12GB
2026-09-04T16:31:00+00:00;tb-thingsboard-ce-1;16.90%;1.937GiB / 15.57GiB;12.44%;3.3GB / 4.82GB;74.2MB / 27MB
2026-09-04T16:31:00+00:00;tb-postgres-1;35.30%;2.998GiB / 15.57GiB;19.26%;1.21GB / 518MB;2.17GB / 11.3GB
2026-09-04T16:31:00+00:00;tb-kafka-1;7.66%;1.625GiB / 15.57GiB;10.44%;3.5GB / 2.68GB;155MB / 2.12GB
2026-09-04T16:31:12+00:00;tb-thingsboard-ce-1;15.67%;1.937GiB / 15.57GiB;12.44%;3.3GB / 4.82GB;74.2MB / 27MB
